id	title	sysname
290	Arts Administration	arts_administration
291	journalism	journalism
292	choreography	choreography
293	curator	curator
294	music production	music_production
295	musical composition	musical_composition
296	illustration	illustration
297	Consulting	consulting
298	recording studio	recording_studio
299	audioguide	audioguide
300	promotion of new blood	promotion_new_blood
301	Venue	venue
302	orchestra, ensemble, band	orchestra_ensemble_band
303	musician	musician
304	director	director
305	stage designer	stage_designer
307	opera	opera
309	theater	theater
310	Club	club
311	venue for live music	venue_fpr_live_music
312	venue for dance	venue_dance
313	digital print	digital_print
314	Curator	curator_2
315	Cultural mediation in museums and exhibitions	cultural_mediation_museums_and_exhibitions
316	services for museums and exhibitions	services_museums_and_exhibitions
317	dance	dance
318	theater	theater_2
319	performing arts	performing_arts
320	memorial sites	memorial_site
321	Corporate Design	corporate_design
322	strategic planning	strategic_planning
323	strategic planning	strategic_planning_2
324	Infolink Weiterbildungsanbieter	infolink_weiterbildungsanbieter
325	Shop, Markt, Verkauf	shop_markt_verkauf
326	Typographie	typographie
327	performance	performance
328	Video	video
329	Skulptur, Bildhauerei	skulptur_bildhauerei
330	Trickfilm	trickfilm
331	interior  design	interior_design
332	animation	animation
333	event location	event_location
334	Crowdfunding	crowdfunding
335	Hörspiel	horspiel
336	Lesung	lesung
337	Co-Working	co_working
