context category title;context category slug;category title;category slug
National;national;Miscellaneous;sonstiges
Networks & Organisations;networks-and-organisations;Miscellaneous;sonstiges
Networks & Platforms;networks-platforms;Onlineportale;onlineportale
Newspaper Publisher;newspaper-publisher;Zeitungen & Zeitschriften;zeitungen-zeitschriften
Office Services;office-services;Miscellaneous;sonstiges
Office-Sharing;office-sharing;Miscellaneous;sonstiges
Offices;offices;Miscellaneous;sonstiges
Online Platform;online-platform;Onlineportale;onlineportale
Online Shopping;online-shopping;Miscellaneous;sonstiges
opera;opera;Theater;theater
orchestra, ensemble, band;orchestra_ensemble_band;Bands;bands
Out-of-Home Advertising;out-home-advertising;Advertising Agencies;werbeagenturen
Packaging & Display;packaging-display;Vermarktung & Distribution;vermarktung-distribution-1
Paper;paper;Künstlerbedarf;kunstlerbedarf
performance;performance;Theatre & Dance;tanz-theater
performing arts;performing_arts;Theatre & Dance;tanz-theater
Phone Marketing;phone-marketing;PR & Marketing;pr-marketing
Photostudios;photostudios;Fotografie;fotografie
Plastics;plastics;Künstlerbedarf;kunstlerbedarf
Postproduction;postproduction;Filmemacher;filmemacher
PR Agencies;pr-agencies;PR & Marketing;pr-marketing
Prepress;prepress;Miscellaneous;sonstiges
Press Archives;press-archives;Museen & Archive;museen-archive-6
Press & News Agencies;press-newsagencies;Vermarktung & Distribution;vermarktung-distribution-6
Press & Public Relations;press-public-relations;PR & Marketing;pr-marketing
Print;print;Miscellaneous;sonstiges
Print & Packaging;print-packaging;Miscellaneous;sonstiges
Private Radio;private-radio;Radio Stations;radio-sender
Private Television;private-television;TV Stations;tv-sender
Problems of Approvals and Licenses;problems-approvals-and-licenses;Miscellaneous;sonstiges
Producers;producers;Miscellaneous;sonstiges
Product Placement;product-placement;PR & Marketing;pr-marketing
Production;production;Miscellaneous;sonstiges
Produktion (manufacture);production-manufacture;Miscellaneous;sonstiges
Production (manufacture);production-manufacture-2;Miscellaneous;sonstiges
Production Services;production-services;Miscellaneous;sonstiges
Production (stage);production-stage;Theatre Makers;theatermacher-regisseure
Production management;productionmanagement;Miscellaneous;sonstiges
Professional Journal;professional-journal;Zeitungen & Zeitschriften;zeitungen-zeitschriften
Programming;programming;Games & Interactive;games-interactive
Project Exchanges;project-exchanges;Miscellaneous;sonstiges
Promotion of Cultural Affairs;promotion-cultural-affairs;Miscellaneous;sonstiges
Promotion & Event;promotion-event;Eventagentur;eventagentur
promotion of new blood;promotion_new_blood;PR & Marketing;pr-marketing
Promotional Agency;promotional-agency;PR & Marketing;pr-marketing
Props;props;Filmstudios;filmstudios
Public Radio;public-radio;Radio Stations;radio-sender
Public Television;public-television;TV Stations;tv-sender
Publisher and Editorial Staff;publisher-and-editorial-staff;Verlage;verlage
R&D and Innovation;r-and-d-innovation;Miscellaneous;sonstiges
Record Studio and Mastering;record-studio-mastering;Recording Studios;tonstudios
recording studio;recording_studio;Recording Studios;tonstudios
Recruitment;recruitment;Miscellaneous;sonstiges
Recruitment Agencies;recruitment-agencies;Miscellaneous;sonstiges
Regional;regional;Miscellaneous;sonstiges
Rehearsal- and Practice Rooms;rehearsal-and-practice-rooms;Miscellaneous;sonstiges
Reiseauskünfte;reiseauskuenfte;Miscellaneous;sonstiges
Reiseplanung;reiseplanung;Miscellaneous;sonstiges
Representatives;representatives;PR & Marketing;pr-marketing
Research Services;research-services;Miscellaneous;sonstiges
Retail;retail;Miscellaneous;sonstiges
Retail Marketing;retail-marketing;PR & Marketing;pr-marketing
Sales Promotion & Merchandising;sales-promotion-merchandising;PR & Marketing;pr-marketing
Sammlungen;sammlungen;Miscellaneous;sonstiges
scholarships;scholarships;Miscellaneous;sonstiges
Schreibservice;schreibservice;Kommunikationsdesign;kommunikationsdesign
Screen;screen;Miscellaneous;sonstiges
Screen Printing;screen-printing;Miscellaneous;sonstiges
Skulptur, Bildhauerei;sculpture;Artists;kunstler-1
Security;security;Eventagentur;eventagentur
Selfpublishing;selfpublishing;Verlage;verlage
services for museums and exhibitions;services_museums_and_exhibitions;Miscellaneous;sonstiges
SFX;sfx;Animation;animation
Shop, Markt, Verkauf;shop-market;Miscellaneous;sonstiges
Shopping Window;shopping-window;Miscellaneous;sonstiges
Software;software;Games & Interactive;games-interactive
Solid Surfaces;solidsurfaces;Bildende Kunst;bildende-kunst
Sound;sound;Recording Studios;tonstudios
Sound Archives;sound-archives;Museen & Archive;museen-archive-5
Sound Studios;sound-studios;Recording Studios;tonstudios
Sponsoring;sponsoring;PR & Marketing;pr-marketing
Stage;stage;Theatre & Dance;tanz-theater
Stage Setting;stage-setting;Set Designers;buhnenbildner
stage designer;stage_designer;Set Designers;buhnenbildner
Start-Up and Spin-Off from University;start-and-spin-university;Miscellaneous;sonstiges
State Media Institutes;state-media-institutes;Film & Rundfunk;film-rundfunk
Statics;statics;Architektur;architektur-1
Stillife Styling;stillife-styling;Miscellaneous;sonstiges
Stock Photography Agency;stock-photography-agency;Vermarktung & Distribution;vermarktung-distribution-5
Stones;stones;Künstlerbedarf;kunstlerbedarf
strategic planning;strategic_planning-2;Miscellaneous;sonstiges
Spaces, Studios & Facilities;studios-and-facilities;Miscellaneous;sonstiges
Studios and Studio Appartments;studios-and-studio-appartments;Miscellaneous;sonstiges
Styling Agencies;styling-agencies;Miscellaneous;sonstiges
Styling & Decoration;styling-decoration;Miscellaneous;sonstiges
Styling and Makeup;styling-makeup;Miscellaneous;sonstiges
Tax Advices;tax-advices;Miscellaneous;sonstiges
Technical Colleges;technical-colleges;Miscellaneous;sonstiges
Text;text;Schriftsteller & Journalisten;schriftsteller-journalisten
Text Services;text-services;Kommunikationsdesign;kommunikationsdesign
theater;theater-2;Theater;theater
Time-Work;time-work;Miscellaneous;sonstiges
Trade Shows & Exhibitions;trade-shows-exhibitions;Eventbranche;eventbranche
Training Schools;training-schools;Miscellaneous;sonstiges
Translations;translations;Übersetzer & Lektoren;ubersetzer-lektoren
Travel, Transport & Logistics;travel-transport-logistics;Miscellaneous;sonstiges
Trend Research;trend-research;PR & Marketing;pr-marketing
Typographie;typography;Kommunikationsdesign;kommunikationsdesign
